Statistical profiling result from v8.log, (98761 ticks, 525 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
    525    0.5%

 [Shared libraries]:
   ticks  total  nonlib   name
     24    0.0%    0.0%  LazyCompile: *Uint8ArrayConstructByLength native typedarray.js:76:37
     24    0.0%    0.0%  Handler: push {1}
     24    0.0%    0.0%  Handler: An IC handler from the snapshot {11}
     23    0.0%    0.0%  Stub: RegExpExecStub
     23    0.0%    0.0%  Stub: LoadFastElementStub {2}
     23    0.0%    0.0%  Stub: LoadConstantStub {1}
     22    0.0%    0.0%  LazyCompile: DELETE native runtime.js:349:23
     21    0.0%    0.0%  LazyCompile: ~onerror /opt/box/node_modules/ws/lib/WebSocket.js:686:35
     21    0.0%    0.0%  LazyCompile: ~once events.js:249:44
     21    0.0%    0.0%  LazyCompile: *Bot.spawn /opt/box/bot.js:263:31
     21    0.0%    0.0%  Handler: response {23}
     21    0.0%    0.0%  Handler: error {54}
     20    0.0%    0.0%  Stub: ToBooleanStub(Null)
     20    0.0%    0.0%  LazyCompile: *OutgoingMessage _http_outgoing.js:47:25
     20    0.0%    0.0%  Handler: valueOf {NaN}
     20    0.0%    0.0%  Handler: push {2}
     20    0.0%    0.0%  Handler: emit {1}
     19    0.0%    0.0%  Stub: SubStringStub
     19    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String)
     19    0.0%    0.0%  StoreMegamorphic: args_count: 0 {2}
     19    0.0%    0.0%  LazyCompile: ~finish /opt/box/node_modules/socks/lib/socks-client.js:249:24
     19    0.0%    0.0%  LazyCompile: *_tickCallback node.js:335:27
     19    0.0%    0.0%  LazyCompile: *MessageEvent /opt/box/node_modules/ws/lib/WebSocket.js:473:22
     19    0.0%    0.0%  Handler: response {24}
     19    0.0%    0.0%  Handler: readUInt8
     19    0.0%    0.0%  Handler: lastFragment {3}
     19    0.0%    0.0%  Handler: An IC handler from the snapshot {6}
     18    0.0%    0.0%  Stub: CompareICStub {22}
     18    0.0%    0.0%  Stub: ArrayBufferViewLoadFieldStub
     18    0.0%    0.0%  StorePolymorphicIC: _changeFactor
